,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,19 Commits,91.90,270.93
1,2,Oklahoma,23 Commits,90.40,259.60
2,3,TCU,18 Commits,87.89,215.88
3,4,West Virginia,22 Commits,86.44,199.77
4,5,Oklahoma State,21 Commits,85.57,192.35
5,6,Iowa State,22 Commits,85.25,190.90
6,7,Texas Tech,19 Commits,85.52,183.17
7,8,Kansas State,27 Commits,84.39,182.46
8,9,Baylor,17 Commits,85.64,181.12
9,10,Kansas,26 Commits,83.94,178.97
