,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,29 Commits,89.43,272.49
1,2,Oklahoma,28 Commits,88.20,249.69
2,3,Texas Tech,19 Commits,85.79,203.18
3,4,West Virginia,22 Commits,84.75,198.02
4,5,Baylor,19 Commits,85.20,195.88
5,6,TCU,21 Commits,85.63,191.44
6,7,Oklahoma State,21 Commits,84.86,191.28
7,8,Kansas State,22 Commits,83.39,175.02
8,9,Iowa State,24 Commits,82.37,166.50
9,10,Kansas,26 Commits,81.18,153.94
