,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Oklahoma,24 Commits,87.74,241.93
1,2,Texas,15 Commits,90.76,234.52
2,3,Baylor,25 Commits,84.68,209.23
3,4,West Virginia,28 Commits,84.87,201.03
4,5,Oklahoma State,25 Commits,84.56,199.52
5,6,TCU,23 Commits,84.57,194.83
6,7,Texas Tech,25 Commits,83.36,182.16
7,8,Kansas,28 Commits,82.67,180.28
8,9,Iowa State,25 Commits,82.07,159.52
9,10,Kansas State,19 Commits,82.11,158.71
