,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,27 Commits,92.16,300.06
1,2,Oklahoma,23 Commits,90.95,276.62
2,3,TCU,25 Commits,87.13,224.13
3,4,Baylor,23 Commits,86.77,215.02
4,5,Oklahoma State,24 Commits,86.52,209.93
5,6,West Virginia,23 Commits,86.40,208.32
6,7,Iowa State,21 Commits,84.81,185.19
7,8,Kansas,23 Commits,83.54,178.59
8,9,Kansas State,24 Commits,83.75,175.65
9,10,Texas Tech,19 Commits,83.76,169.87
