,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,29 Commits,90.07,280.66
1,2,Oklahoma,21 Commits,88.49,238.73
2,3,TCU,23 Commits,88.25,235.79
3,4,West Virginia,28 Commits,83.08,194.45
4,5,Baylor,17 Commits,86.03,191.99
5,6,Texas Tech,26 Commits,84.00,184.64
6,7,Oklahoma State,22 Commits,84.67,184.33
7,8,Iowa State,29 Commits,82.49,170.58
8,9,Kansas,20 Commits,82.19,159.19
9,10,Kansas State,20 Commits,82.08,155.49
