,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Oklahoma,28 Commits,89.93,270.79
1,2,Texas,18 Commits,87.58,217.76
2,3,TCU,23 Commits,85.18,210.03
3,4,Oklahoma State,22 Commits,84.95,194.18
4,5,Baylor,28 Commits,84.60,193.36
5,6,Texas Tech,19 Commits,84.84,183.07
6,7,Iowa State,26 Commits,83.90,180.53
7,8,West Virginia,23 Commits,84.18,174.68
8,9,Kansas State,23 Commits,83.33,169.37
9,10,Kansas,22 Commits,82.18,159.35
