,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,28 Commits,92.15,300.12
1,2,Oklahoma,23 Commits,89.69,255.08
2,3,Baylor,25 Commits,85.48,222.62
3,4,Texas Tech,24 Commits,85.40,220.70
4,5,TCU,24 Commits,86.19,219.37
5,6,Oklahoma State,23 Commits,85.59,213.82
6,7,West Virginia,28 Commits,84.79,206.70
7,8,Iowa State,21 Commits,81.81,155.41
8,9,Kansas State,19 Commits,79.95,139.67
9,10,Kansas,17 Commits,79.36,128.07
