,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,26 Commits,91.19,287.69
1,2,Oklahoma,24 Commits,91.20,279.28
2,3,TCU,27 Commits,86.53,217.48
3,4,Baylor,24 Commits,85.95,202.87
4,5,Oklahoma State,21 Commits,86.01,202.09
5,6,Iowa State,23 Commits,85.33,192.25
6,7,West Virginia,21 Commits,85.74,191.83
7,8,Texas Tech,20 Commits,84.26,177.69
8,9,Kansas State,22 Commits,83.97,177.40
9,10,Kansas,17 Commits,83.76,165.84
